"System","Disease","Pedia_FirstLine","Pedia_SecondLine","Adult_FirstLine","Adult_SecondLine","Remarks"
"Urinary Tract Infections","Complicated and Catheter-Associated UTI (Adults)","N/A","N/A","Complicated UTI: Ciprofloxacin (500–750 mg bid) OR Levofloxacin OR Piperacillin-tazobactam (2.25–4.5 g q6–8h).","Catheter-Associated UTI (CAUTI): Amikacin OR Ertapenem (1 g IV q24h) OR Meropenem (1 g IV q8h).","Remove or replace the indwelling catheter before initiating antibiotics; pyuria alone is not an indication for treatment."
"Urinary Tract Infections","Bacterial Prostatitis","N/A","N/A","Acute Bacterial Prostatitis: Without STD Risk: Ciprofloxacin (500 mg PO bid) OR Levofloxacin (500–750 mg daily) for 2–4 weeks. With STD Risk: Ceftriaxone (250 mg IM x 1 dose) PLUS Doxycycline (100 mg bid x 14 days).","Chronic Bacterial Prostatitis: Ciprofloxacin (400 mg IV q12h) OR Levofloxacin (750 mg IV q24h) for 4–6 weeks.","Standard prostatitis management guidelines."
"Urinary Tract Infections","Candiduria","N/A","N/A","Symptomatic Cystitis/Pyelonephritis: Fluconazole (200–400 mg PO daily x 2 weeks).","N/A","For Fluconazole-resistant strains use Amphotericin B deoxycholate."
"National Health Programs","Filariasis (Selective Treatment)","N/A","N/A","Day 1: Diethylcarbamazine (DEC) 6 mg/kg (divided into 3 doses) PLUS Albendazole 400 mg. Days 2–12: DEC 6 mg/kg (divided into 3 doses).","N/A","Tablets should be taken within 2 hours after a meal. DEC is contraindicated in individuals with severe cardiac or kidney disease."
"National Health Programs","Leprosy","Multibacillary (MB): Rifampicin 450 mg (monthly) PLUS Clofazimine 150 mg (monthly) and 50 mg every other day PLUS Dapsone 50 mg (daily).","N/A","Multibacillary (MB): Rifampicin 600 mg (monthly) PLUS Clofazimine 300 mg (monthly) and 50 mg (daily) PLUS Dapsone 100 mg (daily) for 12 blister packs.","Paucibacillary (PB): Rifampicin 450 mg (monthly) PLUS Dapsone 100 mg (daily) for 6 blister packs.","PB treatment must be completed within 9 months and MB within 18 months."
"National Health Programs","Malaria","N/A","N/A","P. falciparum/malariae: Artemether-lumefantrine (AL) 20 mg/120 mg (4 tabs at 0 8 24 36 48 and 60 hours) PLUS Primaquine 0.25 mg-base/kg (single dose on Day 1).","P. vivax/ovale: Chloroquine 10 mg/kg (Days 1–2) then 5 mg/kg (Day 3) PLUS Primaquine 0.25 mg-base/kg (daily for 14 days). Severe Malaria: Artesunate IV or IM 2.4 mg/kg/dose (3 doses at 12-hour intervals) then shift to oral AL.","Fat intake is essential to enhance Lumefantrine absorption. G6PD testing is mandatory before Primaquine administration."
"National Health Programs","Schistosomiasis","N/A","N/A","Praziquantel 40 mg/kg/day (divided into 2–3 doses) for 1 day.","N/A","The dose is increased to 60 mg/kg for neuroschistosomiasis. Take with a full stomach and follow up in one month."
"National Health Programs","Sexually Transmitted Infections (STIs)","N/A","N/A","Urethritis/Cervicitis: Ceftriaxone 250 mg IM (1 dose) PLUS Azithromycin 1 g PO (1 dose) or Doxycycline 100 mg PO bid x 7 days. Syphilis: Benzathine Penicillin G 2.4 MU IM as a single dose.","PID: Cefoxitin 2 g IV q6h PLUS Doxycycline 100 mg PO q12h x 14 days. Genital Herpes: Aciclovir 400 mg PO tid for 7–10 days.","For syphilis patients allergic to penicillin should be desensitized as penicillin is the preferred treatment."
"National Health Programs","Tuberculosis (TB)","N/A","N/A","Drug-Susceptible Pulmonary TB: Intensive Phase (2 months): Rifampicin (R) Isoniazid (H) Pyrazinamide (Z) and Ethambutol (E). Continuation Phase (4 months): Rifampicin and Isoniazid.","N/A","For Extra-pulmonary TB (CNS, Bones, or Joints), the continuation phase is extended to 10 months (Total 12 months). Fixed-dose combinations (FDCs) are preferred."
"Bone and Joint Infections (Pediatric)","Osteomyelitis (Hematogenous)","1st line: Vancomycin PLUS Cefotaxime OR Ceftriaxone.","2nd line: Clindamycin IV PLUS Cefotaxime OR Ceftriaxone.","N/A","N/A","Resistance of S. aureus to Oxacillin is high (57%) so empiric MRSA coverage should start immediately after collecting cultures. Avoid Ceftriaxone in jaundiced neonates due to the risk of kernicterus."
"Bone and Joint Infections (Pediatric)","Osteomyelitis (Contiguous Focus)","(Clindamycin OR Vancomycin) PLUS (Ceftazidime OR Cefepime).","Culture-proven MSSA: Oxacillin or Cefazolin. Susceptible Gram-negative: Ciprofloxacin.","N/A","N/A","It may be necessary to remove orthopedic hardware to achieve cure. Duration is generally 6 weeks."
"Bone and Joint Infections (Pediatric)","Suppurative Arthritis (Septic Arthritis)","<3 months: Refer to Hematogenous Osteomyelitis regimens. 3 months to 14 years: If Gram-stain is negative or G+ cocci: Vancomycin PLUS (Cefotaxime OR Ceftriaxone). If Gram-negative: Cefotaxime OR Ceftriaxone.","N/A","N/A","N/A","Drainage of purulent joint fluid is a critical component of therapy. Total therapy duration is typically 3 to 6 weeks."
"Bone and Joint Infections (Adult)","Hematogenous Osteomyelitis","N/A","N/A","Long Bones: If MRSA likely: Vancomycin. If GNB seen: Add Ceftazidime or Ceftriaxone or Levofloxacin.","Vertebral: Vancomycin PLUS one of: Ceftriaxone Ceftazidime or Levofloxacin.","Treatment duration is typically 4–6 weeks for long bones and 6–12 weeks for vertebral osteomyelitis. Antibiotics should generally not be started until an etiologic diagnosis is established unless septic."
"Bone and Joint Infections (Adult)","Contiguous Osteomyelitis","N/A","N/A","Foot bone (puncture): Ciprofloxacin or Levofloxacin. Long bone post-fixation: Vancomycin PLUS Ceftazidime or Piperacillin-tazobactam.","N/A","Osteomyelitis is highly likely if there is a positive ""probe to bone"" test ESR >70 or abnormal X-ray/MRI. Removal of internal fixation hardware is necessary due to biofilm."
"Bone and Joint Infections (Adult)","Acute Bacterial Arthritis (Septic Arthritis)","N/A","N/A","Monoarticular (STI risk): Ceftriaxone 1 g IV every 24 hours. Monoarticular (No STI risk): Gram+ cocci: Vancomycin. Gram- bacilli: Ceftazidime or Piperacillin-tazobactam.","N/A","Septic Bursitis: For MSSA Oxacillin or Cefazolin. For MRSA Vancomycin. Daily aspiration until sterile."
"Bone and Joint Infections (Adult)","Prosthetic Joint Infections","N/A","N/A","MSSA: DAIR + Oxacillin/Cefazolin + Rifampin. MRSA: DAIR + Vancomycin + Rifampin. P. aeruginosa: DAIR + Ceftazidime/Cefepime.","N/A","Empiric therapy is not recommended; cases should be referred to a specialist. Rifampin is added to cover biofilm in staphylococcal infections."
